name,deity,speed,raga,beat,Harmonium,Western,language
Aareyanareyanishtam,Krishna,,,6,,,
Ambapaluku,Amma,,,6,,,
Amma Amma Enu Mandiram,Amma,,,6,,,Tamil
Amma Ki Chaya,Amma,Slow,,6,,,
Amma Ni Nidu,Amma,,,6,,,
Amma Nin Rupam,Amma,Slow,,6,,,
Amme Bhagavathi,Amma,,,6,,,
Amritamaye Anandamayi,Amma,,,8,,,
Amritanandamayi Ma Tujhko,Amma,Medium,,8,,,
Annai Endrathume,Amma,,,6,,,Tamil
Anupama Guna Nilaye,Amma,,,8,,,
Arati,Amma,,Yamunakalyani,8,s r2 g2 m2 p d2 n2 s,C D E F# G A B C,
Bandham Illa,Philosophical,Slow,Cakravakam,7,s r1 g2 m1 p d2 n1 s,C C# E F G A Bb C,Malayalam
Barayya Siva,Shiva,,,6,,,
Belli Bettadodeya Shivanu,Shiva,,,6,,,
Chaitam Skalitham,,,,,,,
Chilangai Katti,Krishna,,,6,,,
Chod De Manase,Philosophical,Slow,Misraranjini,8,,,Hindi or Sanskrit
Devi Maheswariye,Devi,Fast,,6,,,
Eli Elelo,Rama,,,,,,
Ellam Ariyunnor Amme,Amma,Slow,Ritigaula,6,s g1 r2 g1 m1 n1 d2 m1 n1 n1 s,C Eb D Eb F Bb A F Bb Bb C,Malayalam
Entamme Nin Makkale,Guru,Medium,,6,,,
Ente Kannunir,,Slow,Mayamalavagaula,8,s r1 g2 m1 p d1 n2 s,C C# E F G Ab B C,
Enthinu Sokam,,,Pantuvarali,8,,,
Gajanana He,Ganesha,Medium,Madhyamavati,8,s r2 m1 p n1 s,C D F G Bb C,
Gam Ganapathaye,Ganapathi,,Hamsadhvani,8,s r2 g2 p n2 s,C D E G B C,
Ganapathi Gunanidhi,Ganapathi,,,6,,,
Guru Charanam,Guru,,Sankarabharanam,8,s r2 g2 m1 p d2 n2 s,C D E F G A B C,
Hare Murare,Krishna,148 bpm,Abheri,5,s g1 m1 p n1 s,C Eb F G Bb C,
Hariyuva Nadiya,Shiva,,,8,,,
In The Still,Guru,Slow,,8,,,English
Jago Ma Kali,Kali,Medium,,6,,,
Jai Ganesha Jai,Ganesha,,,8,,,
Jai Radha Madhav,Krishna,Slow,,8,,,
Jaya Jaya Devi Dayala Hari,Devi,,,,,,
Kala Murali,Krishna,,Sankarabharanam,,s r2 g2 m1 p d2 n2 s,C D E F G A B C,
Kamesha Vamakshi,,,,6,,,
Karuna Sagara Sri Rama,Rama,,,,,,
Karuna Sindho Bhairavi,,,Sindhubhairavi,8/6,s r1 g1 m1 p d1 n1 s,C C# Eb F G Ab C,
Katinnu Katai,,,,6,,,
Kottaiyendre,Shiva,,,,,,
Krishna Mukunda Madhava,Krishna,,Suddhasaveri,,s r2 m1 p d2 s,C D F G A C,
Krishna Ninne Bala,Krishna,,Suddhadhanyasi,8,,,
Manikya Chilaye,,,Madhyamavati,,,,
Morning Song,Krishna,,,,,,English
Muralikayil Oru Ganam,,,Mohanam,,s r2 g2 p d2 s,C D E G A C,
Nilayilla Ulakil,Philosophical,Medium,,8/5,,,
Om Shakthi,Devi,,,6,,,
Omkareshwara,Shiva,,,5,,,English
Only Love,,,,,,,English
Parasahasra Hridayangalil,,,,8,,,
Sakalakala Devate,Sarasvathi,,,6,,,
Sambo Sankara Umapathe,Shiva,Fast,,8,,,
Shankar Sut Ho Tum,Ganesah,,,8,,,
Sri Chakram,Devi,,Mohanam,6,s r2 g2 p d2 s,C D E G A C,
Sri Krishna Saranam,Krishna,Medium,,8,,,
Sri Raghavam,Rama,,,,,,
Suni He Galiya,Krishna,,,6,,,
Take Me Away,,,,8,,,English
Teach Me the Language,,,,,,,English
Thakutiyilla Ennakum Oru,,,,,,,Tamil
Trilok Matr Rupini,Devi,Fast,,8,,,
Udayaval Umayennu,Devi,,,8,,,
Vani Mani Mathe,,,,,,,
Vedambike,,,,6,,,
Venkata Ramana,,,,,,,
Vilvattal Archittom,Shiva,,,,,,
Vizhittuduval Maname,,,,,,,
We Are All Beads,,,,6,,,English
Where Did You Run,Krishna,,Harikambhoji,6,s r2 g2 m1 p d2 n1 s,C D E F G A Bb C,English
