name,arohanam,avarohanam,anyasvara,Ascension,Descension,Accidentals,,,
Harikambhoji,s r2 g2 m1 p d2 n1 s,s n1 d2 p m1 g2 r2 s,,C D E F G A Bb C,C Bb A G F E D C,,,s,C
Cakravakam,s r1 g2 m1 p d2 n1 s,s n1 d2 p m1 g2 r1 s,,C C# E F G A Bb C,C Bb A G F E C# C,,,r1,C#
Yamunakalyani,s r2 g2 m2 p d2 n2 s,s n2 d2 p m2 g2 m1 r2 s,m1,C D E F# G A B C,C B A G F# E D C,F,,r2,D
Misraranjini,,,,,,,,g1,Eb
Mayamalavagaula,s r1 g2 m1 p d1 n2 s,s n2 d1 p m1 g2 r1 s,,C C# E F G Ab B C,,,,g2,E
Pantuvarali,,,,,,,,m1,F
Madhyamavati,s r2 m1 p n1 s,s n1 p m1 r2 s,,C D F G Bb C,,,,m2,F#
Hamsadhvani,s r2 g2 p n2 s,s n2 p g2 r2 s,,C D E G B C,,,,p,G
Sankarabharanam,s r2 g2 m1 p d2 n2 s,s n2 d2 p m1 g2 r2 s,,C D E F G A B C,,,,d1,Ab
Abheri,s g1 m1 p n1 s,s n1 d2 p m1 g1 r2 s,,C Eb F G Bb C,,,,d2,A
Mohanam,s r2 g2 p d2 s,s d2 p g2 r2 s,,C D E G A C,,,,n1,Bb
Sindhubhairavi,s r1 g1 m1 p d1 n1 s,s n1 d1 p m1 g1 r1 s,r2 m2 d2 n2,C C# Eb F G Ab C,,,,n2,B
Suddhasaveri,s r2 m1 p d2 s,s d2 p m1 r2 s,,C D F G A C,,,,s,C
Suddhadhanyasi,s g1 m1 p n1 s,s n1 p m1 g1 s,,C Eb F G Bb C,,,,,
Ritigaula,s g1 r2 g1 m1 n1 d2 m1 n1 n1 s,s n1 d2 m1 g1 m1 p M1 g1 r2 s,,C Eb D Eb F Bb A F Bb Bb C,,,,,
